"","beta","lnalpha","lnalpha.c","Smsy_lambert","Umsy_lambert"
"0%",0.0000000213973703004128,0.0452958219864348,0.542157248351035,25937.505493001,0.251916530867301
"2.5%",0.00000328044727169542,0.652084720697756,1.19806966695861,33938.0200130733,0.501638916180489
"50%",0.0000139711996620693,1.64516633549424,2.12810827594896,53280.4490344583,0.748358490436546
"97.5%",0.0000250553184959212,2.63338545086383,3.5508475074574,177289.28464747,0.927444462236884
"100%",0.0000311683114820577,2.99306137467538,9.43790669043316,24673615.6878041,0.999783543974464
