"","     beta","   lnalpha","  lnalpha.c"," Smsy_lambert"," Umsy_lambert"
"","Min.   :0.00000001863  ","Min.   :0.3604  ","Min.   :0.7466  ","Min.   :   32666  ","Min.   :0.3365  "
"","1st Qu.:0.00000591295  ","1st Qu.:1.1121  ","1st Qu.:1.5144  ","1st Qu.:   55037  ","1st Qu.:0.5995  "
"","Median :0.00000920922  ","Median :1.3549  ","Median :1.7728  ","Median :   71636  ","Median :0.6686  "
"","Mean   :0.00000967204  ","Mean   :1.3774  ","Mean   :1.7995  ","Mean   :  132960  ","Mean   :0.6646  "
"","3rd Qu.:0.00001306132  ","3rd Qu.:1.6181  ","3rd Qu.:2.0455  ","3rd Qu.:  101780  ","3rd Qu.:0.7313  "
"","Max.   :0.00002768967  ","Max.   :2.7800  ","Max.   :3.3567  ","Max.   :23291235  ","Max.   :0.9131  "
