"","beta","lnalpha","lnalpha.c","Smsy_lambert","Umsy_lambert"
"0%",0.0000000186283592287138,0.360438664353805,0.746629861810217,32665.5754371713,0.336461484259972
"2.5%",0.00000106545756406129,0.699666593986266,1.08801317258936,39606.9845505649,0.464136799379749
"50%",0.00000920922437709789,1.3548880262969,1.77283019556493,71636.4304816204,0.668550469316462
"97.5%",0.0000206124950431049,2.1331932714972,2.62960722456073,486096.937981156,0.833977179552111
"100%",0.0000276896745726991,2.77995867992102,3.35669684253588,23291235.1527566,0.913147926815821
