"","     beta","   lnalpha","  lnalpha.c"," Smsy_lambert"," Umsy_lambert"
"","Min.   :0.0000000214  ","Min.   :0.0453  ","Min.   :0.5422  ","Min.   :   25938  ","Min.   :0.2519  "
"","1st Qu.:0.0000102360  ","1st Qu.:1.3378  ","1st Qu.:1.8054  ","1st Qu.:   44268  ","1st Qu.:0.6766  "
"","Median :0.0000139712  ","Median :1.6452  ","Median :2.1281  ","Median :   53280  ","Median :0.7484  "
"","Mean   :0.0000140172  ","Mean   :1.6575  ","Mean   :2.2064  ","Mean   :   90005  ","Mean   :0.7418  "
"","3rd Qu.:0.0000175472  ","3rd Qu.:1.9871  ","3rd Qu.:2.5390  ","3rd Qu.:   67724  ","3rd Qu.:0.8206  "
"","Max.   :0.0000311683  ","Max.   :2.9931  ","Max.   :9.4379  ","Max.   :24673616  ","Max.   :0.9998  "
