beta,lnalpha,lnalpha.c
1.7060992662692033e-6,1.008937217044778,1.3909034575537813
3.5890692111646788e-6,0.7395799006448525,1.10353044019352
5.534870017334247e-6,1.0274665856978094,1.313660275945101
7.2808892384770025e-6,1.2851278692561017,1.6479552692887043
1.371222928389775e-5,1.4666660104975935,1.819302842757585
5.6043434535613514e-6,1.2449484542879605,1.6130213370697395
1.7631596171912026e-5,1.9028828734627259,2.214780590997989
1.946688861176755e-5,2.089079476919753,2.505114816927515
1.005273837760425e-5,1.4477182107518025,2.2078453016953397
6.2876432355097605e-6,1.2374570722651144,1.6487804820358833
9.219161118220198e-6,1.2230372137628376,1.6434279088355472
1.2765028502089166e-5,1.7376452543629142,2.023537098751966
1.1012035943307315e-5,1.3985204894206102,1.8676383466021056
1.1656041104633255e-5,1.5265894607419854,1.9982330996140514
8.287808552939206e-6,1.0620481026576323,1.46112335808866
7.017329803955195e-6,1.5440923848606884,1.9217003320650987
1.12293037259918e-5,1.3978772657906045,1.7665100895093302
6.439134664477975e-6,1.2259068790143228,1.5866631701998362
4.422975313524985e-6,1.0497350260866913,1.7274843411358196
1.3196705508165933e-5,1.6712027157595977,1.9781468210931163
9.078929015269808e-6,1.3019610481880086,1.6659965388998745
9.05318316271905e-6,1.5655990210700357,1.9089602999454058
4.119673423792905e-6,0.9126252940534939,1.4569889729233423
2.2428503806153798e-6,1.1282355680238785,1.5849664247937112
4.081933229931528e-6,1.0261234920265745,1.479269720232165
1.0848056384899701e-5,1.1771485727184405,1.7339576024040413
1.2796080492757546e-5,1.2880666201670816,1.6282253995183273
1.1526224719391742e-5,1.4525463570028079,2.1095180054812994
4.775244425424043e-6,0.9617585235516143,1.5149681755228674
8.170745100355884e-6,1.5719368359119548,2.017720929111175
2.2466915237075866e-6,0.9439477806375726,1.2513110456845746
1.168502119316039e-5,1.6014351511917675,2.1119281202602265
8.673668162793578e-6,1.5928673995291731,2.175176507478979
7.266934266509719e-6,1.334746015732537,1.7144271471999706
8.818866958636746e-6,1.6147469825915746,1.9972594436651852
4.8090656529871845e-6,0.7315066545908468,1.2480276302474573
