,beta,lnalpha,lnalpha.c,Smsy_lambert,Umsy_lambert,,,
507500,2.00742E-05,2.287602903,2.619725172,41474.42354,0.832565016,,,
507600,2.00029E-05,1.715116418,2.07985757,36919.9696,0.738507582,,,
507700,1.51112E-05,1.788621112,2.318009284,51900.12557,0.784272064,,,
507800,2.59172E-05,2.478912746,3.095035664,34331.61977,0.889777891,,,
507900,1.67705E-05,1.584265315,1.881584343,41429.96223,0.69479915,,,
508000,1.45751E-05,1.60967664,2.104971757,51023.55033,0.74367248,,,
508100,6.64555E-06,0.819633884,1.312563678,81069.24387,0.538749556,,,
508200,9.89484E-06,1.837803123,2.874790752,87506.91365,0.865867038,,,
508300,1.96704E-05,2.472072102,2.991822519,44691.19436,0.879092557,,,
508400,1.03415E-05,1.406259697,1.729658198,63595.14588,0.657672066,,,
508500,1.4268E-05,0.910550917,1.85110388,48192.4406,0.68760786,,,
508600,1.58888E-05,1.309834481,2.235410802,48411.65468,0.769201324,,,
508700,1.68576E-05,1.084215819,1.621626264,37329.73201,0.629290289,,,
508800,1.20416E-05,0.843997975,1.837965354,56842.11341,0.684468523,,,
508900,1.11012E-05,1.350813155,1.739065676,59458.83392,0.660064954,,,
509000,1.62741E-05,1.834183026,2.437171988,49439.01924,0.804578005,,,
509100,5.51524E-06,1.113399634,1.382292204,101609.426,0.560400656,,,
509200,8.98988E-06,1.730418129,2.619851567,92613.41934,0.832583143,,,
509300,1.59363E-05,2.264508222,3.257105879,56778.85235,0.904846107,,,
509400,4.72456E-06,0.981940913,1.321249559,114610.8819,0.541485719,,,
509500,1.79512E-05,2.993061375,4.966624107,54670.96722,0.981411508,,,
509600,1.26872E-05,1.481439666,1.914316677,55361.30424,0.702379748,,,
509700,9.59002E-06,1.239064952,1.646498258,66316.10007,0.635972472,,,
509800,6.94844E-06,1.230871689,1.584702205,89114.33023,0.619205854,,,
509900,1.0071E-05,1.601975932,2.081556006,73365.18903,0.738859459,,,
510000,1.34446E-05,1.221354025,1.593134531,46228.52163,0.621526173,,,
510100,2.17273E-05,2.395208006,2.806815623,39471.70928,0.857612507,,,
510200,9.87326E-06,1.326798919,1.635762162,64122.58874,0.633098984,,,
510300,1.39173E-05,1.147958232,1.72300835,47133.81161,0.655973055,,,
510400,1.0736E-05,1.482055777,1.78611754,62578.97093,0.67184582,,,
510500,1.05992E-05,1.029870412,1.505361951,56312.80352,0.596868783,,,
510600,1.51553E-05,1.312873923,1.743822238,43633.03815,0.661270073,,,
510700,1.17648E-05,1.689771192,2.097430709,63080.55824,0.742130207,,,
510800,1.95651E-05,2.106053826,2.483026728,41500.12644,0.811954643,,,
510900,1.96413E-05,1.801463011,2.132620905,38147.34585,0.749264445,,,
