,beta,lnalpha,lnalpha.c,Smsy_lambert,Umsy_lambert,,132409.8585,535832.8105
508200,1.04508E-05,1.312389944,1.690922419,61974.7616,0.647687033,,,
508300,7.43325E-06,0.977212958,1.516877163,80740.89594,0.600167527,,,
508400,1.06022E-05,1.286257549,1.650529266,60086.31757,0.63704709,,,
508500,1.55456E-05,2.024179684,2.390938741,51261.98749,0.79689695,,,
508600,1.31262E-05,1.736754807,1.966400829,54405.62009,0.714141719,,,
508700,2.84094E-06,0.664900091,1.395433092,198666.9112,0.564400669,,,
508800,1.41856E-05,1.438782055,2.096116426,52296.71731,0.741860661,,,
508900,1.70665E-05,1.776813056,2.149359178,44098.20197,0.752602054,,,
509000,1.50169E-05,1.846011507,2.110568979,49598.44791,0.744812453,,,
509100,6.20958E-06,1.161945515,1.504034668,96059.12752,0.596487315,,,
509200,3.7016E-06,1.030661931,1.442511663,156290.0717,0.578522583,,,
509300,8.53259E-06,1.46184012,1.876641946,81293.27211,0.69364177,,,
509400,7.26231E-06,1.278678462,1.999383249,99334.94539,0.721401096,,,
509500,2.09745E-07,0.800190319,1.162272605,2334438.698,0.489637866,,,
509600,1.18409E-05,1.261277049,1.740993873,55785.765,0.660553866,,,
509700,6.74206E-06,1.200068067,1.968074333,105978.5096,0.714513566,,,
509800,9.7683E-06,1.278180725,1.682242612,66072.92737,0.645420346,,,
509900,1.47871E-05,1.776785835,2.385890838,53833.48078,0.796043296,,,
510000,1.68254E-07,1.015274905,1.388850284,3342575.626,0.562400078,,,
510100,2.63208E-06,0.808618417,1.172452829,187331.1491,0.493070161,,,
510200,1.70016E-05,1.88974788,2.236558863,45255.58553,0.769416526,,,
510300,7.68014E-06,1.374458089,1.79640382,87808.29159,0.674379901,,,
510400,1.32326E-05,1.691177443,2.018322919,54827.15855,0.725504071,,,
510500,2.70206E-06,1.007362295,1.270125915,194378.1781,0.5252207,,,
510600,6.27745E-06,1.303637856,1.624922862,100388.1418,0.630181076,,,
510700,4.36019E-06,0.873548473,1.246309502,118690.2027,0.517511438,,,
510800,7.19888E-06,1.660453518,2.031187624,101163.5187,0.728263862,,,
510900,5.99562E-06,1.164752828,1.570121022,102603.1254,0.615169283,,,
511000,1.83311E-05,2.081018874,2.42780183,43807.69105,0.803041187,,,
511100,5.97416E-06,1.152129788,1.535370649,101340.5923,0.605424889,,,
511200,2.083E-05,2.213485948,2.788501866,41061.5796,0.855313806,,,
511300,1.4428E-05,1.899933512,2.249336014,53493.186,0.771800589,,,
511400,3.09652E-06,0.965329361,1.41315998,183998.6594,0.569756358,,,
511500,7.70925E-06,1.241848881,1.655680345,82811.85392,0.638416915,,,
