"of_0.7","oy_0.7","or_0.7","of_0.8","oy_0.8","or_0.8","of_0.9","oy_0.9","or_0.9","Escapement"
1,0,0,1,0,0,1,0,0,0
0.9995,0.0005,0.0947,0.9998,0.0002,0.0758,0.9998,0.0002,0.0628,5000
0.9808,0.0192,0.3635,0.9949,0.0051,0.2668,0.9978,0.0022,0.1981,10000
0.7536,0.2464,0.6375,0.9189,0.0811,0.5202,0.9813,0.0187,0.4201,15000
0.44,0.56,0.7803,0.6675,0.3325,0.7034,0.8799,0.1201,0.6087,20000
0.2664,0.7336,0.8573,0.4327,0.5673,0.8009,0.6702,0.3298,0.7338,25000
0.174,0.826,0.8982,0.2875,0.7125,0.8602,0.4771,0.5228,0.8073,30000
0.1259,0.8741,0.9229,0.1995,0.8004,0.8943,0.3408,0.6589,0.8582,35000
0.0964,0.9035,0.9377,0.1475,0.8522,0.9168,0.2481,0.7506,0.8888,40000
0.0769,0.9227,0.9488,0.1182,0.8806,0.932,0.1902,0.8024,0.9109,45000
0.0632,0.9355,0.9579,0.0945,0.8999,0.9423,0.1484,0.8151,0.9251,50000
0.0528,0.9415,0.9631,0.0791,0.8937,0.9514,0.1235,0.7829,0.9365,55000
0.0453,0.9305,0.9672,0.0675,0.8654,0.9583,0.1027,0.7126,0.9445,60000
0.0398,0.9026,0.9711,0.058,0.8066,0.9628,0.0885,0.6279,0.9517,65000
0.0355,0.8518,0.9743,0.0502,0.7256,0.9663,0.0766,0.5419,0.9575,70000
0.0315,0.7752,0.9762,0.0443,0.6435,0.9699,0.0678,0.4639,0.9609,75000
0.0284,0.6998,0.9785,0.0405,0.5627,0.9712,0.0602,0.3986,0.9611,80000
0.0263,0.6214,0.9797,0.0364,0.4896,0.972,0.0535,0.3422,0.9583,85000
0.0238,0.5533,0.98,0.0338,0.4269,0.9688,0.0482,0.2965,0.951,90000
0.0218,0.4859,0.9791,0.0299,0.3742,0.9636,0.0437,0.2568,0.9416,95000
0.0199,0.4296,0.9736,0.0283,0.3289,0.9558,0.0406,0.2223,0.9302,100000
0.019,0.3791,0.9658,0.0263,0.2889,0.9446,0.0375,0.1957,0.9114,105000
0.018,0.3386,0.9563,0.0241,0.2554,0.9302,0.0347,0.1729,0.8887,110000
0.0164,0.3017,0.9443,0.0226,0.2291,0.9115,0.0323,0.1539,0.8638,115000
0.0148,0.2691,0.93,0.0213,0.2027,0.8886,0.0296,0.1376,0.8382,120000
0.014,0.2424,0.9106,0.0197,0.1833,0.8632,0.0282,0.1243,0.8066,125000
0.0135,0.218,0.8907,0.019,0.1656,0.839,0.0268,0.1131,0.774,130000
0.0129,0.1981,0.8661,0.0181,0.1491,0.8093,0.0254,0.1052,0.7429,135000
0.0121,0.181,0.8426,0.0173,0.1365,0.7774,0.0238,0.0972,0.7085,140000
0.0118,0.1655,0.8143,0.0156,0.1274,0.7462,0.0225,0.091,0.6807,145000
0.0112,0.1512,0.7832,0.0145,0.1192,0.7144,0.0214,0.0842,0.6498,150000
0.0107,0.1392,0.7538,0.014,0.1111,0.6881,0.0201,0.078,0.6198,155000
0.0105,0.13,0.7231,0.0135,0.1039,0.6588,0.0195,0.0711,0.5914,160000
0.01,0.1224,0.697,0.0131,0.0971,0.633,0.0188,0.0659,0.5629,165000
0.0095,0.116,0.6721,0.0126,0.0905,0.6049,0.0181,0.0617,0.5404,170000
0.0091,0.1079,0.6453,0.0121,0.0841,0.5768,0.0175,0.0589,0.5176,175000
0.0084,0.1029,0.6178,0.0118,0.0788,0.5523,0.016,0.0554,0.4938,180000
0.0082,0.0962,0.5941,0.0112,0.0739,0.5322,0.0151,0.0515,0.4713,185000
0.0079,0.0899,0.5688,0.0111,0.0694,0.5097,0.0143,0.0494,0.4491,190000
0.0076,0.0853,0.5476,0.0105,0.0656,0.4882,0.0138,0.0466,0.4289,195000
0.0074,0.0797,0.5262,0.0105,0.0623,0.465,0.0136,0.0439,0.4098,200000
0.0071,0.0758,0.5059,0.0099,0.059,0.4457,0.0132,0.042,0.3924,205000
0.0068,0.0715,0.4855,0.0095,0.056,0.4271,0.0128,0.0396,0.3731,210000
0.0066,0.0681,0.4663,0.0091,0.0536,0.4104,0.0125,0.0372,0.3582,215000
0.0061,0.0658,0.4484,0.0087,0.0506,0.3918,0.0121,0.0361,0.3448,220000
0.0059,0.0627,0.4316,0.0082,0.0489,0.3755,0.0119,0.0344,0.3296,225000
0.0057,0.0597,0.4139,0.0082,0.0468,0.3607,0.0115,0.0334,0.3173,230000
0.0054,0.0569,0.3957,0.0078,0.0448,0.3481,0.0112,0.032,0.3033,235000
0.0052,0.0549,0.3809,0.0078,0.043,0.3338,0.0111,0.0304,0.2925,240000
0.0052,0.0524,0.3657,0.0076,0.0412,0.3215,0.0105,0.0294,0.2823,245000
0.005,0.0506,0.3537,0.0074,0.0398,0.3102,0.0104,0.0275,0.2732,250000
0.005,0.0485,0.3413,0.0071,0.0384,0.299,0.01,0.027,0.2617,255000
0.005,0.0466,0.3293,0.0068,0.0377,0.2879,0.0097,0.0261,0.2506,260000
0.005,0.0448,0.3189,0.0066,0.036,0.2787,0.0094,0.025,0.2423,265000
0.005,0.0433,0.3069,0.0063,0.0351,0.2687,0.0091,0.025,0.2341,270000
0.005,0.0417,0.2973,0.006,0.034,0.2583,0.0087,0.0241,0.2271,275000
