"of_0.7","oy_0.7","or_0.7","of_0.8","oy_0.8","or_0.8","of_0.9","oy_0.9","or_0.9","Escapement"
0.0048,0.0406,0.2852,0.0059,0.0323,0.2487,0.0084,0.0235,0.2221,280000
0.0048,0.0398,0.2761,0.0057,0.0314,0.2399,0.0082,0.0224,0.2144,285000
0.0048,0.0373,0.268,0.0056,0.0307,0.2328,0.0082,0.0209,0.2071,290000
0.0048,0.0366,0.2574,0.0052,0.0297,0.2276,0.0078,0.021,0.1998,295000
0.0047,0.0354,0.2495,0.0052,0.029,0.2212,0.0078,0.0204,0.1941,300000
0.0047,0.0338,0.2415,0.0052,0.0284,0.2152,0.0076,0.0198,0.1876,305000
0.0046,0.0329,0.2346,0.005,0.0276,0.208,0.0075,0.0192,0.182,310000
0.0046,0.0323,0.2287,0.005,0.0266,0.2027,0.0071,0.0194,0.1769,315000
0.0045,0.0311,0.2233,0.005,0.0256,0.1963,0.0071,0.0185,0.1718,320000
0.0045,0.0302,0.2174,0.005,0.0245,0.1898,0.0068,0.0182,0.167,325000
0.0045,0.0294,0.2113,0.005,0.0238,0.1842,0.0066,0.0183,0.1629,330000
0.0045,0.0289,0.2065,0.005,0.0234,0.1797,0.0066,0.0176,0.1584,335000
0.0045,0.0278,0.2005,0.005,0.023,0.1741,0.0062,0.0173,0.1552,340000
0.0045,0.0272,0.1941,0.0049,0.0224,0.1681,0.006,0.0169,0.1511,345000
0.0043,0.0263,0.1882,0.0048,0.0218,0.1645,0.0059,0.0163,0.1474,350000
0.0042,0.0253,0.1839,0.0048,0.0217,0.1614,0.0057,0.0161,0.1438,355000
