"oy_0.9","oy_0.8","or_0.9","or_0.8","of_0.9","of_0.8","oy_0.7","or_0.7","of_0.7","Escapement"
0,0,0,0,1,1,0,0,1,0
0,0,0.0008,0.0017,1,1,0,0.003,1,5000
0,0.0002,0.0237,0.0448,1,0.9998,0.0014,0.0911,0.9986,10000
0.0013,0.0113,0.1238,0.2,0.9987,0.9887,0.0721,0.3068,0.9279,15000
0.0213,0.1112,0.2797,0.3913,0.9787,0.8888,0.2882,0.509,0.7118,20000
0.1084,0.2944,0.4364,0.5359,0.8916,0.7056,0.4936,0.6389,0.5064,25000
0.2517,0.4653,0.5466,0.6428,0.7483,0.5347,0.6306,0.7241,0.3694,30000
0.3976,0.5881,0.6373,0.717,0.6024,0.4119,0.7197,0.7825,0.2803,35000
0.5157,0.6752,0.7034,0.7704,0.4843,0.3248,0.7776,0.8194,0.2224,40000
0.6048,0.7376,0.7524,0.8056,0.3946,0.2624,0.8179,0.8455,0.1821,45000
0.6672,0.78,0.7889,0.8302,0.3288,0.2195,0.8444,0.8681,0.1556,50000
0.6995,0.8121,0.8161,0.8527,0.2766,0.1857,0.8664,0.8858,0.1332,55000
0.6993,0.8236,0.8352,0.8698,0.2361,0.1628,0.8819,0.8976,0.1164,60000
0.6699,0.815,0.8534,0.8846,0.2069,0.1437,0.8889,0.907,0.1017,65000
0.6234,0.7879,0.8686,0.8955,0.1821,0.1273,0.8764,0.9155,0.0911,70000
0.571,0.7438,0.8812,0.903,0.1634,0.1153,0.8489,0.9232,0.0837,75000
0.5131,0.6907,0.8915,0.9115,0.149,0.1027,0.8087,0.9306,0.0765,80000
0.4561,0.636,0.8969,0.9179,0.1346,0.0938,0.757,0.9348,0.0713,85000
0.4082,0.5781,0.9025,0.9231,0.1226,0.0875,0.7031,0.9383,0.0648,90000
0.3672,0.5202,0.9055,0.9285,0.1131,0.0807,0.6501,0.942,0.0602,95000
0.3314,0.471,0.9054,0.9285,0.1043,0.0757,0.5927,0.9437,0.0562,100000
0.3005,0.4273,0.904,0.9275,0.0963,0.0714,0.538,0.9453,0.0526,105000
0.2725,0.3902,0.8974,0.9249,0.0901,0.066,0.4923,0.945,0.0504,110000
