"q95","q90","Median","q10","q5","Escapement"
0,0,0,0,0,0
216504.004781765,118724.38372922,36091.4594604184,15400.3027017411,12319.7433059516,5000
386059.520254679,212172.58145968,66299.6639101792,29035.8368820816,23377.3236444862,10000
523530.688037118,284930.174252087,91049.3260708441,41001.5046897728,33251.429897673,15000
626735.911676032,340393.998747907,110952.520247162,51371.0612494972,41856.3708619917,20000
706395.320303731,382392.002728166,126341.19633744,60268.5897737776,49128.1429021541,25000
773492.599549806,408750.730575722,138488.972070623,67504.0549505648,55011.8711091945,30000
809545.002945736,427489.613480851,147095.938539926,73309.320952564,59867.1004943499,35000
841791.393213279,443280.836951065,153081.592353343,77409.1155697769,63495.6689956487,40000
854945.062538462,449103.088718171,156495.194196206,79753.3225568824,65558.1130261648,45000
858511.379890293,450531.294583175,156590.39122937,80624.5568978256,65884.9572540744,50000
851144.744295876,450737.330838705,156152.738977188,79690.0839531555,65236.2753720578,55000
848265.374397638,447216.127228939,153424.518308019,77814.8932975803,63019.6367172527,60000
837953.735039126,440767.397822524,149994.027175878,73779.0667271287,59508.599165676,65000
821739.068463908,433306.86064625,145326.457419192,69044.203056111,54458.2817833424,70000
794480.581963303,422699.226985182,139935.517066447,62788.2967800407,48301.1713523569,75000
769111.320222485,415529.321949131,133745.227080464,55440.6533533622,40904.1464943099,80000
763631.957964424,404863.266711552,126904.221227336,47183.045354249,32113.4278605548,85000
738414.057803621,392475.741138718,118923.009824141,38340.8908578914,22557.9789446053,90000
714630.415463833,381013.534308571,110916.150642609,28702.2724688747,12294.80129713,95000
692542.260010131,368999.624220255,102025.138959949,18698.7269328271,2187.8620317433,100000
678949.883350426,359138.697765715,93528.4242019581,7875.99447000871,-8221.2948941625,105000
662387.416118265,349266.019942122,83756.5682769246,-2875.50505881403,-18601.729885263,110000
645594.858495968,338582.184285906,73514.2501682366,-13606.939081276,-29932.1054947324,115000
621947.643639115,327414.966743818,63290.7407844819,-24250.2695938363,-40555.9261486095,120000
608212.872063516,319755.197254944,53526.3181582764,-34975.2019883623,-51216.601275354,125000
596968.469250885,311335.909702399,42571.5721352364,-45572.8702423687,-61494.1414419324,130000
581913.334392068,299181.020793618,31446.0588820248,-55936.1571752026,-71586.0701151271,135000
559357.963587466,289229.434737425,21098.307717717,-66273.7710723468,-81271.8043326494,140000
545281.021147165,283486.646279918,10370.5986080491,-76480.5852243594,-90718.9556122291,145000
530753.583441388,273142.693226852,-369.985480298899,-86180.2262327475,-100105.77204646,150000
516277.304507108,264524.299417078,-11281.5578421486,-95959.8409588176,-109374.053603084,155000
508526.085471319,254559.825282028,-21738.063287026,-105414.605884656,-118142.237462658,160000
490135.423988386,247650.11819924,-32155.4790807212,-114675.476075394,-126811.254596665,165000
477413.900684799,237995.725543573,-42407.1234905123,-123670.562562994,-135245.156005098,170000
457850.173315244,230612.652807973,-52757.0847885057,-132375.773869792,-143328.612694883,175000
446265.280778045,221474.441783726,-62813.6611304238,-140716.647561919,-151310.505570853,180000
438908.531752456,214283.349618566,-73232.3679003397,-148784.955537105,-158948.458697673,185000
427183.475026575,205029.379732617,-83158.2644678849,-156683.711479562,-166315.135596049,190000
418295.845000653,195562.433128426,-93050.2922576291,-164353.820961251,-173665.614915172,195000
410193.738829283,185534.685128317,-102720.322492609,-171937.011025811,-180777.737886576,200000
404515.646009069,176546.94196855,-112204.553531709,-179408.106192202,-187572.341739336,205000
394057.543521576,167359.811484571,-121813.120996707,-186589.708182286,-194135.701365923,210000
389352.145556894,158735.258589028,-131096.000856361,-193624.891492085,-200616.822170466,215000
378670.261350735,151061.672926253,-139970.632163951,-200455.920582013,-206996.43757917,220000
372886.605809384,143321.87850243,-148887.021784446,-207109.404564035,-213165.115196936,225000
366666.642371695,133065.054729598,-157743.770101432,-213670.322767004,-219323.971593862,230000
359112.582068516,124106.675047356,-166540.478351894,-220128.049196756,-225423.529578762,235000
351211.396835809,113938.989657325,-174947.752308705,-226431.834058656,-231360.821126726,240000
345395.627629907,102916.201904853,-183209.168991487,-232642.831835972,-237229.695848991,245000
343437.697991787,92910.415699645,-191293.050492421,-238755.0347326,-242995.531605683,250000
330405.736609407,83021.1490224712,-199324.001817221,-244799.272828018,-248698.983849035,255000
325503.622508271,72533.977331269,-207162.194157465,-250698.508203758,-254336.543754016,260000
317675.424146157,62491.7235703687,-214848.967263659,-256524.556960927,-259925.969619768,265000
312539.576816875,52141.6785394016,-222481.509244257,-262292.944317597,-265448.808514723,270000
